Record_ID,Date,Year,Month,Month_Name,Quarter,Year_Month,Source,Source_URL,Country,Latitude,Longitude,Themes,Theme_Count,Number_of_Themes,Misinfo_Flag,Tone_Overall,Tone_Positive,Tone_Negative,Tone_Polarity,Tone_Activity,Tone_SelfGroup,Context_Category,Tone_Category
GDELT-SYNTHETIC-20220121-00482,2022-01-21,2022,1,January,Q1,2022-01,The Guardian,https://www.theguardian.com/news/2022/01/21/journalists-targeted-amid-election-misinformation-wave,South Africa,-30.55,22.93,MEDIA_MANIPULATION; TAX_FNCACT_JOURNALIST; GOV_GOVERNMENT_GENERAL,3,3,1,-0.15,0.7,1.56,2.26,10.43,1.35,CRISISLEX_C07;2;1;South Africa;-30.55;22.93,Neutral
GDELT-SYNTHETIC-20220125-00384,2022-01-25,2022,1,January,Q1,2022-01,Associated Press,https://www.apnews.com/news/2022/01/25/election-disinformation-campaign-traced-to-foreign-actors,India,20.59,78.96,ELECTION; CLIMATE_DENIAL; MEDIA_MANIPULATION; VACCINE_MISINFORMATION,4,4,1,-4.86,1.21,5.55,6.76,7.5,2.03,KILL;17;1;India;20.59;78.96,Negative
GDELT-SYNTHETIC-20220127-00224,2022-01-27,2022,1,January,Q1,2022-01,Al Jazeera,https://www.aljazeera.com/news/2022/01/27/political-disinformation-campaign-traced-to-foreign-actors,Philippines,12.87,121.77,PROPAGANDA; ELECTION,2,2,1,-2.59,4.4,3.56,7.96,8.6,3.55,ARREST;7;1;Philippines;12.87;121.77,Negative
GDELT-SYNTHETIC-20220129-00480,2022-01-29,2022,1,January,Q1,2022-01,The Guardian,https://www.theguardian.com/news/2022/01/29/misleading-health-stories-spread-across-platforms,United Kingdom,55.37,-3.43,DISINFORMATION; GOV_GOVERNMENT_GENERAL; ELECTION,3,3,1,-7.12,1.08,7.62,8.7,8.62,2.57,WOUND;23;1;United Kingdom;55.37;-3.43,Negative
GDELT-SYNTHETIC-20220201-00219,2022-02-01,2022,2,February,Q1,2022-02,Associated Press,https://www.apnews.com/news/2022/02/01/report-finds-surge-in-climate-conspiracy-theories,Ukraine,48.37,31.16,INFORMATION_OPERATIONS; FAKE_NEWS; SOC_POINTSOFINTEREST; WB_HEALTH; CRISISLEX_T10_URGENCY; VACCINE_MISINFORMATION,6,6,1,-3.68,1.96,5.04,7.0,8.16,3.23,KILL;44;1;Ukraine;48.37;31.16,Negative
GDELT-SYNTHETIC-20220201-00084,2022-02-01,2022,2,February,Q1,2022-02,Reuters,https://www.reuters.com/news/2022/02/01/experts-debunk-false-covid-narratives-online,Indonesia,-0.78,113.92,SOC_POINTSOFINTEREST; WB_HEALTH; CYBER_ATTACK; FAKE_NEWS,4,4,1,-5.37,3.55,6.43,9.98,11.54,2.57,KILL;40;1;Indonesia;-0.78;113.92,Negative
GDELT-SYNTHETIC-20220201-00043,2022-02-01,2022,2,February,Q1,2022-02,BBC News,https://www.bbc.com/news/2022/02/01/social-media-flags-security-posts-as-misinformation,Germany,51.16,10.45,TAX_FNCACT_POLITICIAN; SOC_POINTSOFINTEREST; CRISISLEX_T10_URGENCY; ELECTION_FRAUD,4,4,1,-2.07,3.14,3.55,6.69,9.95,2.18,KILL;11;1;Germany;51.16;10.45,Negative
GDELT-SYNTHETIC-20220204-00075,2022-02-04,2022,2,February,Q1,2022-02,The Guardian,https://www.theguardian.com/news/2022/02/04/social-media-flags-political-posts-as-misinformation,Mexico,23.63,-102.55,CRISISLEX_CRISISLEXREC; DISINFORMATION; FAKE_NEWS; PROPAGANDA,4,4,1,-3.44,2.5,5.17,7.67,10.88,4.65,ARREST;17;1;Mexico;23.63;-102.55,Negative
GDELT-SYNTHETIC-20220205-00420,2022-02-05,2022,2,February,Q1,2022-02,Reuters,https://www.reuters.com/news/2022/02/05/fact-check-claims-about-health-go-viral-on-social-media,Nigeria,9.08,8.67,CRISISLEX_T10_URGENCY; CYBER_ATTACK; ELECTION; CONSPIRACY; SOC_POINTSOFINTEREST; PROPAGANDA,6,6,1,-3.69,2.67,4.15,6.82,3.34,3.32,CRISISLEX_C07;46;1;Nigeria;9.08;8.67,Negative
GDELT-SYNTHETIC-20220206-00386,2022-02-06,2022,2,February,Q1,2022-02,France 24,https://www.france24.com/news/2022/02/06/social-media-flags-election-posts-as-misinformation,Brazil,-14.23,-51.92,CYBER_ATTACK; ECON_BANKRUPTCY; VACCINE_MISINFORMATION,3,3,1,-5.8,0.53,6.66,7.19,11.3,4.46,CRISISLEX_C07;47;1;Brazil;-14.23;-51.92,Negative
GDELT-SYNTHETIC-20220206-00381,2022-02-06,2022,2,February,Q1,2022-02,Reuters,https://www.reuters.com/news/2022/02/06/misleading-vaccine-stories-spread-across-platforms,China,35.86,104.19,TAX_FNCACT_JOURNALIST; CRISISLEX_CRISISLEXREC; FAKE_NEWS; MEDIA_MANIPULATION,4,4,1,-1.76,1.67,3.35,5.02,9.11,2.39,KILL;22;1;China;35.86;104.19,Negative
GDELT-SYNTHETIC-20220209-00306,2022-02-09,2022,2,February,Q1,2022-02,Deutsche Welle,https://www.dw.com/news/2022/02/09/government-warns-of-health-related-fake-news,Ethiopia,9.14,40.48,GOV_GOVERNMENT_GENERAL; CYBER_ATTACK; ELECTION_FRAUD; FAKE_NEWS,4,4,1,-0.78,3.88,2.55,6.43,6.53,1.38,PROTEST;45;1;Ethiopia;9.14;40.48,Neutral
GDELT-SYNTHETIC-20220211-00471,2022-02-11,2022,2,February,Q1,2022-02,Reuters,https://www.reuters.com/news/2022/02/11/security-disinformation-campaign-traced-to-foreign-actors,South Africa,-30.55,22.93,MEDIA_MANIPULATION; PROPAGANDA; SOC_POINTSOFINTEREST,3,3,1,-0.85,2.62,2.19,4.81,3.9,3.71,CRISISLEX_C07;27;1;South Africa;-30.55;22.93,Neutral
GDELT-SYNTHETIC-20220211-00439,2022-02-11,2022,2,February,Q1,2022-02,Associated Press,https://www.apnews.com/news/2022/02/11/journalists-targeted-amid-security-misinformation-wave,Egypt,26.82,30.8,CRISISLEX_CRISISLEXREC; VACCINE_MISINFORMATION; SOC_POINTSOFINTEREST,3,3,1,-7.5,2.46,9.51,11.97,3.91,2.69,ARREST;6;1;Egypt;26.82;30.8,Negative
GDELT-SYNTHETIC-20220212-00027,2022-02-12,2022,2,February,Q1,2022-02,Al Jazeera,https://www.aljazeera.com/news/2022/02/12/vaccine-disinformation-campaign-traced-to-foreign-actors,Mexico,23.63,-102.55,INFORMATION_OPERATIONS; WB_HEALTH; TAX_FNCACT_POLITICIAN,3,3,1,-7.38,2.07,7.85,9.92,9.42,1.58,ARREST;12;1;Mexico;23.63;-102.55,Negative
GDELT-SYNTHETIC-20220214-00433,2022-02-14,2022,2,February,Q1,2022-02,Reuters,https://www.reuters.com/news/2022/02/14/misleading-election-stories-spread-across-platforms,Mexico,23.63,-102.55,MEDIA_MANIPULATION; PROPAGANDA; ECON_BANKRUPTCY,3,3,1,-6.28,2.25,7.53,9.78,11.42,4.08,PROTEST;35;1;Mexico;23.63;-102.55,Negative
GDELT-SYNTHETIC-20220219-00276,2022-02-19,2022,2,February,Q1,2022-02,The Guardian,https://www.theguardian.com/news/2022/02/19/health-disinformation-campaign-traced-to-foreign-actors,Pakistan,30.37,69.34,VACCINE_MISINFORMATION; ELECTION_FRAUD; WB_HEALTH; CLIMATE_DENIAL; CRISISLEX_T10_URGENCY,5,5,1,-4.02,1.33,5.54,6.87,6.18,4.33,KILL;26;1;Pakistan;30.37;69.34,Negative
GDELT-SYNTHETIC-20220221-00271,2022-02-21,2022,2,February,Q1,2022-02,The Guardian,https://www.theguardian.com/news/2022/02/21/misleading-political-stories-spread-across-platforms,France,46.22,2.21,TAX_FNCACT_JOURNALIST; INFORMATION_OPERATIONS; CLIMATE_DENIAL; MEDIA_MANIPULATION; WB_HEALTH; SOC_POINTSOFINTEREST,6,6,1,-6.43,0.2,7.7,7.9,10.28,1.92,WOUND;48;1;France;46.22;2.21,Negative
GDELT-SYNTHETIC-20220225-00273,2022-02-25,2022,2,February,Q1,2022-02,Deutsche Welle,https://www.dw.com/news/2022/02/25/government-warns-of-election-related-fake-news,France,46.22,2.21,CYBER_ATTACK; ECON_BANKRUPTCY; SOC_POINTSOFINTEREST; VACCINE_MISINFORMATION,4,4,1,-3.54,2.58,4.6,7.18,5.08,3.7,KILL;41;1;France;46.22;2.21,Negative
GDELT-SYNTHETIC-20220225-00374,2022-02-25,2022,2,February,Q1,2022-02,France 24,https://www.france24.com/news/2022/02/25/report-finds-surge-in-vaccine-conspiracy-theories,Egypt,26.82,30.8,WB_HEALTH; TAX_FNCACT_JOURNALIST; CYBER_ATTACK,3,3,1,-7.66,3.03,9.22,12.25,4.73,2.09,WOUND;21;1;Egypt;26.82;30.8,Negative
GDELT-SYNTHETIC-20220226-00490,2022-02-26,2022,2,February,Q1,2022-02,Deutsche Welle,https://www.dw.com/news/2022/02/26/social-media-flags-covid-posts-as-misinformation,Nigeria,9.08,8.67,WB_HEALTH; CRISISLEX_CRISISLEXREC; PROPAGANDA; FAKE_NEWS; ECON_BANKRUPTCY,5,5,1,-2.84,2.29,3.72,6.01,5.65,1.81,WOUND;6;1;Nigeria;9.08;8.67,Negative
GDELT-SYNTHETIC-20220303-00205,2022-03-03,2022,3,March,Q1,2022-03,Deutsche Welle,https://www.dw.com/news/2022/03/03/misleading-economic-stories-spread-across-platforms,Ghana,7.94,-1.02,CLIMATE_DENIAL; VACCINE_MISINFORMATION; CRISISLEX_CRISISLEXREC; MEDIA_MANIPULATION; WB_HEALTH,5,5,1,-2.19,1.43,3.18,4.61,14.43,4.23,CRISISLEX_C07;14;1;Ghana;7.94;-1.02,Negative
GDELT-SYNTHETIC-20220304-00348,2022-03-04,2022,3,March,Q1,2022-03,Al Jazeera,https://www.aljazeera.com/news/2022/03/04/misleading-covid-stories-spread-across-platforms,Ethiopia,9.14,40.48,CONSPIRACY; TAX_FNCACT_JOURNALIST; ELECTION; PROPAGANDA; DISINFORMATION,5,5,1,-7.54,0.95,8.01,8.96,10.85,4.21,ARREST;35;1;Ethiopia;9.14;40.48,Negative
GDELT-SYNTHETIC-20220305-00280,2022-03-05,2022,3,March,Q1,2022-03,France 24,https://www.france24.com/news/2022/03/05/social-media-flags-climate-posts-as-misinformation,China,35.86,104.19,CONSPIRACY; WB_HEALTH; SOC_POINTSOFINTEREST; ECON_BANKRUPTCY,4,4,1,-3.04,0.65,3.55,4.2,11.6,1.84,PROTEST;25;1;China;35.86;104.19,Negative
GDELT-SYNTHETIC-20220309-00496,2022-03-09,2022,3,March,Q1,2022-03,Al Jazeera,https://www.aljazeera.com/news/2022/03/09/social-media-flags-climate-posts-as-misinformation,Pakistan,30.37,69.34,CYBER_ATTACK; GOV_GOVERNMENT_GENERAL; VACCINE_MISINFORMATION; DISINFORMATION; ELECTION; CRISISLEX_T10_URGENCY,6,6,1,-1.7,1.77,3.43,5.2,3.98,3.19,KILL;37;1;Pakistan;30.37;69.34,Negative
GDELT-SYNTHETIC-20220309-00467,2022-03-09,2022,3,March,Q1,2022-03,Al Jazeera,https://www.aljazeera.com/news/2022/03/09/government-warns-of-vaccine-related-fake-news,USA,37.09,-95.71,TAX_FNCACT_POLITICIAN; CLIMATE_DENIAL,2,2,1,-4.23,1.93,4.47,6.4,6.93,3.39,PROTEST;6;1;United States;37.09;-95.71,Negative
GDELT-SYNTHETIC-20220311-00385,2022-03-11,2022,3,March,Q1,2022-03,Al Jazeera,https://www.aljazeera.com/news/2022/03/11/government-warns-of-political-related-fake-news,China,35.86,104.19,CONSPIRACY; FAKE_NEWS; ECON_BANKRUPTCY; DISINFORMATION; GOV_GOVERNMENT_GENERAL; CRISISLEX_CRISISLEXREC,6,6,1,-8.45,2.75,8.91,11.66,8.72,4.57,WOUND;31;1;China;35.86;104.19,Negative
GDELT-SYNTHETIC-20220311-00317,2022-03-11,2022,3,March,Q1,2022-03,Associated Press,https://www.apnews.com/news/2022/03/11/government-warns-of-health-related-fake-news,France,46.22,2.21,TAX_FNCACT_JOURNALIST; INFORMATION_OPERATIONS; ECON_BANKRUPTCY; DISINFORMATION; MEDIA_MANIPULATION; ELECTION,6,6,1,-3.0,3.15,3.49,6.64,8.19,2.93,PROTEST;36;1;France;46.22;2.21,Negative
GDELT-SYNTHETIC-20220312-00151,2022-03-12,2022,3,March,Q1,2022-03,Associated Press,https://www.apnews.com/news/2022/03/12/misleading-health-stories-spread-across-platforms,United Kingdom,55.37,-3.43,ELECTION_FRAUD; CRISISLEX_CRISISLEXREC; CLIMATE_DENIAL; ECON_BANKRUPTCY,4,4,1,-5.81,0.65,6.32,6.97,11.16,1.55,CRISISLEX_C07;9;1;United Kingdom;55.37;-3.43,Negative
GDELT-SYNTHETIC-20220314-00289,2022-03-14,2022,3,March,Q1,2022-03,The Guardian,https://www.theguardian.com/news/2022/03/14/fact-check-claims-about-covid-go-viral-on-social-media,France,46.22,2.21,GOV_GOVERNMENT_GENERAL; CYBER_ATTACK; MEDIA_MANIPULATION; CRISISLEX_CRISISLEXREC,4,4,1,-1.84,3.17,2.93,6.1,4.11,2.9,CRISISLEX_C07;5;1;France;46.22;2.21,Negative
GDELT-SYNTHETIC-20220315-00425,2022-03-15,2022,3,March,Q1,2022-03,Reuters,https://www.reuters.com/news/2022/03/15/misleading-economic-stories-spread-across-platforms,Brazil,-14.23,-51.92,TAX_FNCACT_POLITICIAN; GOV_GOVERNMENT_GENERAL; ELECTION; CONSPIRACY; CYBER_ATTACK,5,5,1,2.53,2.78,3.52,6.3,7.21,2.52,WOUND;40;1;Brazil;-14.23;-51.92,Positive
GDELT-SYNTHETIC-20220316-00035,2022-03-16,2022,3,March,Q1,2022-03,Associated Press,https://www.apnews.com/news/2022/03/16/journalists-targeted-amid-vaccine-misinformation-wave,Pakistan,30.37,69.34,CYBER_ATTACK; CRISISLEX_CRISISLEXREC; MEDIA_MANIPULATION; TAX_FNCACT_POLITICIAN; INFORMATION_OPERATIONS; CRISISLEX_T10_URGENCY,6,6,1,-5.72,1.18,6.68,7.86,9.02,2.78,PROTEST;36;1;Pakistan;30.37;69.34,Negative
GDELT-SYNTHETIC-20220317-00418,2022-03-17,2022,3,March,Q1,2022-03,Al Jazeera,https://www.aljazeera.com/news/2022/03/17/security-disinformation-campaign-traced-to-foreign-actors,United Kingdom,55.37,-3.43,WB_MEDIA; DISINFORMATION; GOV_GOVERNMENT_GENERAL; CONSPIRACY,4,4,1,-6.55,1.49,7.48,8.97,6.64,3.95,CRISISLEX_C07;26;1;United Kingdom;55.37;-3.43,Negative
GDELT-SYNTHETIC-20220318-00234,2022-03-18,2022,3,March,Q1,2022-03,The Guardian,https://www.theguardian.com/news/2022/03/18/government-warns-of-covid-related-fake-news,Nigeria,9.08,8.67,CYBER_ATTACK; ELECTION; CLIMATE_DENIAL; CRISISLEX_CRISISLEXREC; CRISISLEX_T10_URGENCY,5,5,1,2.6,3.38,3.88,7.26,9.78,3.35,ARREST;13;1;Nigeria;9.08;8.67,Positive
GDELT-SYNTHETIC-20220318-00164,2022-03-18,2022,3,March,Q1,2022-03,Deutsche Welle,https://www.dw.com/news/2022/03/18/election-disinformation-campaign-traced-to-foreign-actors,United Kingdom,55.37,-3.43,TAX_FNCACT_POLITICIAN; ELECTION_FRAUD; WB_HEALTH,3,3,1,-7.21,2.27,8.65,10.92,8.25,3.57,CRISISLEX_C07;30;1;United Kingdom;55.37;-3.43,Negative
GDELT-SYNTHETIC-20220320-00464,2022-03-20,2022,3,March,Q1,2022-03,Reuters,https://www.reuters.com/news/2022/03/20/experts-debunk-false-political-narratives-online,Brazil,-14.23,-51.92,ECON_BANKRUPTCY; WB_MEDIA; DISINFORMATION,3,3,1,-2.45,2.84,3.14,5.98,6.33,1.4,KILL;2;1;Brazil;-14.23;-51.92,Negative
GDELT-SYNTHETIC-20220321-00094,2022-03-21,2022,3,March,Q1,2022-03,Deutsche Welle,https://www.dw.com/news/2022/03/21/government-warns-of-security-related-fake-news,South Africa,-30.55,22.93,VACCINE_MISINFORMATION; WB_HEALTH; MEDIA_MANIPULATION; CLIMATE_DENIAL; WB_MEDIA,5,5,1,-4.05,2.61,5.43,8.04,6.41,1.92,PROTEST;28;1;South Africa;-30.55;22.93,Negative
GDELT-SYNTHETIC-20220321-00231,2022-03-21,2022,3,March,Q1,2022-03,BBC News,https://www.bbc.com/news/2022/03/21/climate-disinformation-campaign-traced-to-foreign-actors,Mexico,23.63,-102.55,SOC_POINTSOFINTEREST; DISINFORMATION; FAKE_NEWS,3,3,1,-5.98,0.15,6.66,6.81,4.03,4.14,PROTEST;23;1;Mexico;23.63;-102.55,Negative
GDELT-SYNTHETIC-20220322-00354,2022-03-22,2022,3,March,Q1,2022-03,Deutsche Welle,https://www.dw.com/news/2022/03/22/social-media-flags-election-posts-as-misinformation,United Kingdom,55.37,-3.43,TAX_FNCACT_POLITICIAN; CLIMATE_DENIAL; WB_HEALTH; MEDIA_MANIPULATION,4,4,1,-5.61,4.17,6.52,10.69,8.37,3.05,CRISISLEX_C07;3;1;United Kingdom;55.37;-3.43,Negative
GDELT-SYNTHETIC-20220322-00159,2022-03-22,2022,3,March,Q1,2022-03,Associated Press,https://www.apnews.com/news/2022/03/22/journalists-targeted-amid-climate-misinformation-wave,Mexico,23.63,-102.55,ELECTION; WB_MEDIA; CRISISLEX_CRISISLEXREC; INFORMATION_OPERATIONS,4,4,1,-2.43,2.21,3.57,5.78,4.17,1.42,ARREST;22;1;Mexico;23.63;-102.55,Negative
GDELT-SYNTHETIC-20220323-00335,2022-03-23,2022,3,March,Q1,2022-03,Associated Press,https://www.apnews.com/news/2022/03/23/social-media-flags-security-posts-as-misinformation,France,46.22,2.21,CRISISLEX_CRISISLEXREC; TAX_FNCACT_POLITICIAN; PROPAGANDA; VACCINE_MISINFORMATION; WB_HEALTH; CLIMATE_DENIAL,6,6,1,-4.1,1.63,4.9,6.53,5.23,4.12,CRISISLEX_C07;32;1;France;46.22;2.21,Negative
GDELT-SYNTHETIC-20220326-00497,2022-03-26,2022,3,March,Q1,2022-03,Reuters,https://www.reuters.com/news/2022/03/26/experts-debunk-false-economic-narratives-online,Russia,61.52,105.31,CRISISLEX_CRISISLEXREC; ELECTION_FRAUD; GOV_GOVERNMENT_GENERAL; ECON_BANKRUPTCY,4,4,1,-5.01,3.72,7.01,10.73,5.7,1.95,CRISISLEX_C07;21;1;Russia;61.52;105.31,Negative
GDELT-SYNTHETIC-20220328-00102,2022-03-28,2022,3,March,Q1,2022-03,Al Jazeera,https://www.aljazeera.com/news/2022/03/28/experts-debunk-false-economic-narratives-online,Ethiopia,9.14,40.48,WB_HEALTH; ELECTION_FRAUD; DISINFORMATION; TAX_FNCACT_JOURNALIST; CRISISLEX_CRISISLEXREC,5,5,1,-4.72,1.41,5.29,6.7,8.15,1.67,ARREST;22;1;Ethiopia;9.14;40.48,Negative
GDELT-SYNTHETIC-20220329-00292,2022-03-29,2022,3,March,Q1,2022-03,Al Jazeera,https://www.aljazeera.com/news/2022/03/29/fact-check-claims-about-vaccine-go-viral-on-social-media,Germany,51.16,10.45,CRISISLEX_T10_URGENCY; TAX_FNCACT_JOURNALIST; DISINFORMATION; MEDIA_MANIPULATION; GOV_GOVERNMENT_GENERAL; INFORMATION_OPERATIONS,6,6,1,-7.9,2.75,9.09,11.84,11.87,3.17,CRISISLEX_C07;30;1;Germany;51.16;10.45,Negative
GDELT-SYNTHETIC-20220330-00212,2022-03-30,2022,3,March,Q1,2022-03,The Guardian,https://www.theguardian.com/news/2022/03/30/government-warns-of-security-related-fake-news,Ukraine,48.37,31.16,WB_MEDIA; INFORMATION_OPERATIONS; GOV_GOVERNMENT_GENERAL,3,3,1,-5.18,1.97,6.77,8.74,9.63,2.13,CRISISLEX_C07;32;1;Ukraine;48.37;31.16,Negative
GDELT-SYNTHETIC-20220401-00408,2022-04-01,2022,4,April,Q2,2022-04,BBC News,https://www.bbc.com/news/2022/04/01/report-finds-surge-in-political-conspiracy-theories,Indonesia,-0.78,113.92,ECON_BANKRUPTCY; PROPAGANDA; VACCINE_MISINFORMATION; GOV_GOVERNMENT_GENERAL; FAKE_NEWS; ELECTION,6,6,1,3.4,2.39,4.15,6.54,7.92,0.73,KILL;19;1;Indonesia;-0.78;113.92,Positive
GDELT-SYNTHETIC-20220402-00342,2022-04-02,2022,4,April,Q2,2022-04,BBC News,https://www.bbc.com/news/2022/04/02/misleading-vaccine-stories-spread-across-platforms,Russia,61.52,105.31,ELECTION; DISINFORMATION; CLIMATE_DENIAL,3,3,1,-4.1,2.67,6.05,8.72,7.6,1.53,ARREST;32;1;Russia;61.52;105.31,Negative
GDELT-SYNTHETIC-20220403-00070,2022-04-03,2022,4,April,Q2,2022-04,Associated Press,https://www.apnews.com/news/2022/04/03/experts-debunk-false-health-narratives-online,India,20.59,78.96,ELECTION; WB_MEDIA; CYBER_ATTACK; TAX_FNCACT_JOURNALIST; FAKE_NEWS; ELECTION_FRAUD,6,6,1,-2.92,0.55,3.22,3.77,5.84,2.29,ARREST;34;1;India;20.59;78.96,Negative
GDELT-SYNTHETIC-20220406-00087,2022-04-06,2022,4,April,Q2,2022-04,Associated Press,https://www.apnews.com/news/2022/04/06/social-media-flags-election-posts-as-misinformation,India,20.59,78.96,TAX_FNCACT_JOURNALIST; CONSPIRACY; ELECTION_FRAUD; GOV_GOVERNMENT_GENERAL; DISINFORMATION; ECON_BANKRUPTCY,6,6,1,-6.46,0.04,7.33,7.37,10.15,4.0,CRISISLEX_C07;20;1;India;20.59;78.96,Negative
GDELT-SYNTHETIC-20220406-00050,2022-04-06,2022,4,April,Q2,2022-04,Al Jazeera,https://www.aljazeera.com/news/2022/04/06/journalists-targeted-amid-political-misinformation-wave,France,46.22,2.21,INFORMATION_OPERATIONS; ECON_BANKRUPTCY; PROPAGANDA; GOV_GOVERNMENT_GENERAL; SOC_POINTSOFINTEREST,5,5,1,-4.34,1.53,5.01,6.54,13.3,2.9,KILL;20;1;France;46.22;2.21,Negative
GDELT-SYNTHETIC-20220407-00101,2022-04-07,2022,4,April,Q2,2022-04,The Guardian,https://www.theguardian.com/news/2022/04/07/experts-debunk-false-health-narratives-online,Ghana,7.94,-1.02,CLIMATE_DENIAL; ECON_BANKRUPTCY; WB_HEALTH; ELECTION_FRAUD,4,4,1,-1.18,3.91,1.48,5.39,9.69,1.85,CRISISLEX_C07;46;1;Ghana;7.94;-1.02,Negative
GDELT-SYNTHETIC-20220409-00166,2022-04-09,2022,4,April,Q2,2022-04,The Guardian,https://www.theguardian.com/news/2022/04/09/social-media-flags-political-posts-as-misinformation,Brazil,-14.23,-51.92,CLIMATE_DENIAL; TAX_FNCACT_JOURNALIST,2,2,1,0.13,3.58,0.87,4.45,6.74,2.22,WOUND;6;1;Brazil;-14.23;-51.92,Neutral
